sample_pair,feature,type,assigned_value,u_char,u_homo,u_lts,u_c,u_k,platform
F/P,P23327,informative,1.013,0.000,NA,NA,0.000,0.001,Olink
F/P,Q96MH7,certified,0.506,0.000,NA,NA,0.000,0.001,Olink
M/P,A8MVW0,certified,0.417,0.000,NA,NA,0.000,0.001,Olink
M/P,O00193,certified,0.132,0.001,NA,NA,0.001,0.001,SomaScan
F/P,Q8WWQ8,informative,1.010,0.001,NA,NA,0.001,0.002,Olink
M/P,P51809,certified,0.059,0.001,NA,NA,0.001,0.002,SomaScan
M/P,Q9ULV8,certified,0.113,0.001,NA,NA,0.001,0.003,SomaScan
Y/P,O95497,informative,1.128,0.002,NA,NA,0.002,0.003,Olink
X/P,Q9Y3E5,informative,0.918,0.002,NA,NA,0.002,0.003,SomaScan
M/P,Q7Z6G3,informative,0.994,0.002,NA,NA,0.002,0.004,Olink
F/P,Q96F24,certified,0.051,0.002,NA,NA,0.002,0.004,SomaScan
Y/P,Q9NRP2,informative,1.021,0.002,NA,NA,0.002,0.004,SomaScan
X/P,Q15375,certified,0.921,0.002,NA,NA,0.002,0.004,SomaScan
M/P,P04637,certified,0.116,0.002,NA,NA,0.002,0.004,SomaScan
M/P,Q9NWS0,informative,1.039,0.002,NA,NA,0.002,0.004,SomaScan
X/P,Q9UKA1,informative,0.982,0.002,NA,NA,0.002,0.004,SomaScan
X/P,P48594,certified,0.898,0.002,NA,NA,0.002,0.005,SomaScan
M/P,O75031,informative,0.037,0.002,NA,NA,0.002,0.005,SomaScan
F/P,P41970,certified,0.737,0.002,NA,NA,0.002,0.005,SomaScan
F/P,O43663,certified,0.384,0.002,NA,NA,0.002,0.005,SomaScan
F/P,P16435,certified,0.923,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q96GK7,certified,0.890,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q07021,informative,0.980,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q9BTN0,certified,0.084,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,Q6UWV6,informative,0.850,0.002,NA,NA,0.002,0.005,Olink
X/P,Q16595,informative,1.021,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,Q16620,informative,0.777,0.002,NA,NA,0.002,0.005,Olink
M/P,P25189,certified,0.810,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q15393,certified,0.329,0.002,NA,NA,0.002,0.005,SomaScan
F/P,Q96CG8,informative,0.901,0.002,NA,NA,0.002,0.005,Olink
X/P,Q9H9S0,certified,0.755,0.002,NA,NA,0.002,0.005,SomaScan
